City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Max Temp,Windspeed
Guarapuava,BR,100,99,-25.4,-51.46,58.93,58.93,8.93
Gari,RU,100,98,59.43,62.35,50.18,50.18,5.5
Verkhotur'ye,RU,78,97,58.86,60.81,49.05,49.05,4.56
Puteyets,RU,100,97,65.17,57.09,50.79,50.79,3.83
Nantai,CN,100,97,40.92,122.8,68.07,68.07,11.07
Igrim,RU,99,97,63.19,64.42,53.15,53.15,6.82
Isiro,CD,96,97,2.77,27.62,68.36,68.36,2.44
Nyagan,RU,98,96,62.14,65.39,53.4,53.4,3.96
Lata,PT,0,96,40.16,-8.33,71.89,73.99,4.0
Kushiro,JP,91,95,42.98,144.37,63.99,63.99,8.14
Mattru,SL,82,95,7.62,-11.83,74.46,74.46,4.09
Estrela,BR,100,95,-28.06,-50.94,57.96,57.96,6.29
Qinggang,CN,100,95,46.68,126.08,58.86,58.86,12.06
Codrington,AU,100,95,-38.27,141.97,46.89,46.89,3.96
Zhigansk,RU,59,95,66.77,123.37,47.21,47.21,12.77
Ponta Delgada,PT,75,94,37.73,-25.67,75.2,75.2,18.34
São João Batista,BR,100,94,-27.28,-48.85,66.0,66.0,2.48
Mount Barker,AU,80,94,-35.07,138.87,45.37,46.99,8.01
Hong Kong,HK,100,94,22.29,114.16,77.54,79.0,11.99
Tianjin,CN,90,94,39.14,117.18,71.6,71.6,4.47
Ribeira Grande,PT,75,94,38.52,-28.7,75.2,75.2,25.28
Cidreira,BR,99,94,-30.18,-50.21,63.52,63.52,10.92
San Patricio,MX,75,94,19.22,-104.7,78.8,78.8,9.17
Butterworth,MY,20,94,5.4,100.36,78.49,80.6,5.82
Zhoucheng,CN,29,94,35.91,116.31,76.51,76.51,1.97
Alofi,NU,37,94,-19.06,-169.92,73.4,73.4,9.17
George Town,MY,20,94,5.41,100.34,78.49,80.6,5.82
Murgūd,IN,100,94,16.4,74.2,70.93,70.93,5.93
Anshun,CN,100,94,26.25,105.93,63.57,63.57,3.78
Masalli,KR,23,94,34.8,126.66,75.2,75.2,2.24
Kathu,TH,20,94,7.92,98.33,80.46,82.99,2.24
Shimoda,JP,57,94,34.67,138.95,73.99,73.99,8.77
Sungai Besar,MY,40,94,3.67,100.99,77.0,77.0,2.24
Hasaki,JP,75,94,35.73,140.83,75.36,77.0,6.93
Yokadouma,CM,97,94,3.52,15.05,72.21,72.21,1.88
Tura,IN,81,94,25.52,90.22,75.33,75.33,5.57
Praia da Vitória,PT,75,94,38.73,-27.07,77.0,77.0,22.5
Vila Franca do Campo,PT,75,94,37.72,-25.43,75.2,75.2,18.34
Port Moresby,PG,75,94,-9.44,147.18,71.6,71.6,3.36
Horta,PT,75,94,38.53,-28.63,75.2,75.2,25.28
Castro,BR,100,94,-24.79,-50.01,60.46,60.46,11.16
Mount Gambier,AU,90,93,-37.83,140.77,46.4,46.4,3.69
Hamilton,US,90,93,39.18,-84.53,65.05,66.2,3.36
Geraldton,AU,92,93,-28.77,114.6,46.4,46.4,8.05
Bykovo,RU,48,93,55.64,38.08,53.04,54.0,3.67
Kuusamo,FI,7,93,65.97,29.18,46.4,46.4,2.24
Chik,RU,100,93,54.99,82.43,55.4,55.4,4.47
Zwedru,LR,37,93,6.07,-8.13,72.84,72.84,4.65
Port Hardy,CA,90,93,50.7,-127.42,60.8,60.8,3.36
Petrozavodsk,RU,59,93,61.78,34.35,51.8,51.8,2.24
Barrow,US,90,93,71.29,-156.79,46.4,46.4,14.99
Honningsvåg,NO,75,93,70.98,25.97,48.2,48.2,5.82
Aviemore,GB,40,93,57.2,-3.83,59.67,61.0,4.74
Finnsnes,NO,75,93,69.23,17.98,49.48,50.0,11.41
Uinskoye,RU,26,93,56.88,56.58,41.86,41.86,5.99
Moose Factory,CA,90,93,51.26,-80.61,55.4,55.4,5.82
Kedrovyy,RU,99,93,56.17,91.82,57.2,57.2,2.24
Japura,ID,50,93,-0.32,102.35,74.55,74.55,1.72
Piopio,NZ,100,92,-38.47,175.02,55.0,55.0,4.0
Ahipara,NZ,73,92,-35.17,173.17,58.51,58.51,9.86
Puerto Rico,AR,38,92,-26.8,-55.02,71.42,71.42,3.04
Kaeo,NZ,96,92,-35.1,173.78,60.03,60.03,11.41
Northam,GB,33,92,51.03,-4.22,62.65,64.0,1.99
Vrangel',RU,0,92,42.73,133.08,70.21,70.21,4.45
Iskateley,RU,100,91,67.68,53.15,49.55,49.55,13.15
Peniche,PT,0,91,39.36,-9.38,69.67,70.0,5.99
Katsuura,JP,99,91,35.13,140.3,77.36,80.01,3.0
Tateyama,JP,72,91,34.98,139.87,79.47,81.0,3.0
Hermanus,ZA,84,91,-34.42,19.23,44.01,44.01,1.01
Dingle,PH,100,91,11.0,122.67,75.07,75.07,3.33
Holalkere,IN,80,91,14.03,76.18,69.73,69.73,12.28
Mayumba,GA,100,91,-3.43,10.66,73.53,73.53,11.23
Savannakhet,LA,99,91,16.57,104.75,75.38,75.38,2.55
Chumikan,RU,100,90,54.72,135.31,50.11,50.11,12.39
Bonga,ET,100,90,7.28,36.23,61.21,61.21,1.61
Severo-Kuril'sk,RU,92,90,50.68,156.12,50.45,50.45,13.53
Mezen',RU,60,90,65.85,44.24,43.47,43.47,6.73
Salekhard,RU,52,90,66.53,66.6,50.45,50.45,10.92
Katobu,ID,71,90,-4.94,122.53,69.67,69.67,2.1
Koslan,RU,100,90,63.46,48.9,47.84,47.84,12.06
Bhadrāchalam,IN,100,90,17.67,80.88,77.0,77.0,1.66
Arman',RU,100,90,59.7,150.17,50.61,50.61,7.31
Bonthe,SL,80,89,7.53,-12.51,76.77,76.77,9.13
Soe,ID,74,89,-9.86,124.28,60.64,60.64,2.98
Vorkuta,RU,28,89,67.5,64.0,49.35,49.35,10.25
Te Anau,NZ,100,89,-45.42,167.72,42.94,42.94,2.1
Bako,ET,86,89,5.78,36.57,63.84,63.84,2.19
Kaduqli,SD,100,89,11.02,29.72,74.35,74.35,6.26
Weligama,LK,95,89,5.97,80.42,77.81,77.81,7.07
Manado,ID,20,88,1.49,124.85,71.6,71.6,1.12
Gisborne,NZ,100,88,-38.65,178.0,50.0,50.0,11.14
Tarko-Sale,RU,45,88,64.92,77.78,57.99,57.99,10.85
Itoman,JP,20,88,26.12,127.67,81.14,82.4,3.36
Boyolangu,ID,57,88,-8.12,111.89,72.59,72.59,3.91
Nishihara,JP,20,88,26.18,127.76,81.07,82.4,3.36
Phan Thiet,VN,100,88,10.93,108.1,76.82,76.82,8.05
Leshukonskoye,RU,71,88,64.9,45.76,43.74,43.74,8.75
Kodarmā,IN,0,88,24.47,85.6,79.34,79.34,4.5
Tema,GH,40,88,5.67,-0.02,77.0,77.0,16.11
Gushikawa,JP,75,88,26.35,127.87,80.89,82.4,3.36
Cuxhaven,DE,40,88,53.87,8.69,64.8,66.0,2.24
Tondano,ID,20,88,1.3,124.91,71.6,71.6,1.12
Kribi,CM,53,88,2.95,9.92,77.56,77.56,7.05
Tangshan,CN,100,88,39.63,118.18,68.86,68.86,7.34
Balezino,RU,7,88,57.98,53.01,45.27,45.27,10.18
Buzdyak,RU,79,88,54.58,54.55,47.68,47.68,10.98
Ferrandina,IT,75,88,40.5,16.45,78.62,80.01,6.93
Seymchan,RU,99,88,62.88,152.43,46.87,46.87,1.21
Isangel,VU,20,88,-19.55,169.27,68.0,68.0,7.54
Juneau,US,90,87,58.3,-134.42,55.22,55.4,2.8
Valparaíso,CL,75,87,-33.04,-71.63,50.68,52.0,3.36
Vilcún,CL,75,87,-38.65,-72.23,47.21,48.0,12.75
Maningrida,AU,12,87,-12.07,134.27,61.41,61.41,5.35
Aberdeen,GB,90,87,57.14,-2.1,60.3,60.8,5.82
Sola,VU,75,87,-13.88,167.55,78.73,78.73,9.48
Yigou,CN,100,87,35.81,114.32,70.48,70.48,8.75
Pevek,RU,100,87,69.7,170.31,39.61,39.61,11.43
Skellefteå,SE,1,87,64.75,20.95,59.04,60.8,4.7
Mogadishu,SO,96,87,2.04,45.34,76.42,76.42,14.74
Port Macquarie,AU,0,87,-31.43,152.92,44.64,48.2,6.93
Port-Gentil,GA,64,87,-0.72,8.78,76.3,76.3,16.33
Yele,CM,100,87,10.73,13.59,71.31,71.31,2.24
Batagay-Alyta,RU,100,87,67.8,130.41,45.39,45.39,9.01
Payo,ID,69,87,-3.75,103.64,73.08,73.08,2.26
Prestea,GH,18,87,5.43,-2.14,73.38,73.38,6.06
Omboué,GA,70,86,-1.57,9.26,75.02,75.02,10.94
Lang Suan,TH,82,86,9.95,99.08,76.91,76.91,3.94
Lagoa,PT,5,86,39.05,-27.98,75.42,75.42,27.72
Wewak,PG,30,86,-3.55,143.63,77.0,77.0,8.1
